"","WT_100_1","WT_100_2","WT_100_3","C08_100_1","C08_100_2","C08_100_3"
"SLC15A4",872.988665590701,1105.30020901953,915.354329222895,14.4721725445509,14.5303481314949,12.9053236474234
"FOSB",1862.56539401273,2198.92097298698,2232.52573835081,326.049534386059,399.584573616111,357.378193313262
"CNOT1",4436.98148059725,4459.42447443038,4444.39732773455,10742.6085493934,10493.3330756279,10709.4331929541
"FOS",25536.5772417797,26008.0005955172,26436.3718529103,11724.1623696209,12588.1249312518,11933.453505052
"NEAT1",13588.670477642,12942.9486531682,13062.8103967255,6523.54460052317,6344.91868408613,6568.80973653849
"DYNC1H1",5875.8487926132,6037.21132419312,6157.7528670492,12017.0110375812,12424.6585147725,12803.0737754476
"HSPA8",12652.1744932733,12000.0989071457,12323.9551586758,24177.8924963407,24406.1414115343,23473.7909974594
"SYT2",3891.008113192,3866.95807997034,3907.38945459045,7833.70186793869,8009.85440748659,8288.19593325674
"PRKDC",6637.9366179497,6144.44986512585,6489.15807547554,12999.416162076,12729.7958255339,13010.55167101
"ATP1A1",4500.4887993753,4335.19764978553,4821.8049588603,9840.22602602731,9749.86359623311,9353.38149277099
"CD163",1530.81074367968,1719.00195811971,1716.1720141738,4001.981360702,4503.19705841914,3989.73044146111
"GAS7",3036.97685619175,3255.37986633417,3431.40520339454,7087.10802549333,6950.34985623175,6961.92574918308
"EIF3C",856.87486828881,716.693219104882,771.714111406379,2191.25718409848,2665.10801978503,2905.68325507755
"ABHD2",1213.27414978946,1234.83587232441,1294.63961025474,2909.75798572206,2844.31564674014,2999.99138942411
"A2M",28492.985111462,29154.0183854546,29800.1816596853,52173.0333273735,54102.5404052771,51748.3623917604
"CD93",2362.09311037136,2259.44173371139,2240.97516292826,5386.20209937493,4784.11712229471,4936.78265374126
"MGAT5",2296.69005073428,2150.07965731465,2289.79406048681,4667.70129775134,4504.40792076343,4747.1736678445
"MALAT1",145574.888436575,130417.99229018,130138.976166716,68833.0578389536,58869.7054547518,68322.7688238666
"MYCBP2",5004.75586788154,5089.05273951067,4762.6589868182,9658.04691281943,9183.18001910481,9211.42293264934
"SMCR8",1844.5558558518,1786.95509296817,1821.3204089153,3599.31444225655,3810.58379748455,3769.34722225127
"PRKCA",6194.33325693293,6300.52972173092,6264.7789116968,11827.1701859674,10971.623701623,11823.2618954471
"RALGAPA2",1836.02502198609,1815.62282173237,1795.03331022992,3681.0396519199,3643.48479397236,3569.81106431803
"PTPRG",359.242892789224,369.495170738517,361.447606923912,1026.67294639579,1046.18506546764,1130.70489495502
"TBC1D14",921.330057496375,908.873178598191,891.883705396667,2027.80676477178,2019.7183902778,2076.76439003151
"EGR1",7290.07147346154,8154.37618181555,7865.47545664555,3297.95273162296,3992.21314912824,3600.58529763112
"IGF2R",2992.42694600417,3515.51296067595,3238.00726306643,6369.45852813707,6963.66934201895,7040.35040827127
"LRBA",1909.01104505936,2001.43217483363,1857.93458208421,4225.02307874155,3770.62534012294,3957.96349094438
"MKI67",5786.74897223803,5081.62036538662,5521.22954888189,11058.4424325716,10080.4290162246,10627.0376650513
"PRPF8",10699.5614084558,11542.4770146506,12067.6559464934,20399.8041579455,20831.6757711866,20644.5469670628
"HUWE1",5914.71148022364,6624.36887999312,6345.51785765902,11973.5945199476,11333.6715425661,11577.0680289424
"PPP1R16B",12749.8051475141,12878.1808215157,12563.3555217034,21438.3953640839,22787.218457217,21354.3397676711
"GSTM2",6068.26648980637,6232.57658688245,6677.86189103841,3257.09012679129,3355.29955603104,3436.78695902921
"ITGA4",2320.38681147235,2220.15632762712,2091.70199539345,4772.4117226325,4379.68909930144,4288.53831975915
"ANAPC1",1495.73953778732,1424.89229635371,1444.8516027426,3097.0449245339,2838.26133501868,3171.7314656552
"PSAP",132675.319761196,139668.112771427,138783.676334393,225916.572550311,254919.216756603,241256.091133747
"ARHGAP35",3631.29161550269,3934.9112148188,3845.42700768921,6805.32631300825,7342.66925578211,6875.55935246571
"FCER1A",5834.14249371418,5705.93979180687,5535.31192317763,3211.97100062298,3126.44657296,3142.94266674941
"GOLGA8B",2172.51902446676,1958.96146555334,2066.35372166112,883.653829484934,795.536560199348,953.008515502033
"TLN1",18022.8083469507,19926.1950265797,20123.712868608,32751.3777725861,36781.1545701909,34620.0197600186
"ARRB1",3188.63612491544,3193.79733787776,3489.61235048359,5903.79509390946,6442.99853397372,6008.91723368105
"DOCK2",10412.3566683104,10508.3152436756,10704.4821146661,17046.5166489464,17442.4720695154,17029.0709113769
"TNS3",2854.98573372333,3093.99117106908,2983.58570079011,5186.99690082052,5536.06263809958,5582.04883611243
"CCNL2",8723.25156290035,9074.92880546582,9074.68199617282,5275.53254462248,5419.81985304762,5215.73618796633
"SMC1A",5473.00386006591,5442.62139426907,5534.37309822458,9184.72174018589,9095.99793031584,9761.3882634703
"SPTBN1",1801.90168652326,1860.21706647667,1985.6147756989,3450.33619547441,3747.61895558141,3718.71864486522
"COMT",2046.4522573402,2607.70154980976,2687.85584057964,0,2.42172468858249,0
"EEF1A1P5",10048.3744233735,10624.0479264644,9729.04298844806,17910.5904802828,16863.6798689442,16767.9862868175
"EIF3L",5412.34015257644,5245.13259611573,5476.16595113553,9485.23214655215,9678.42271791993,8776.61279745153
"ATRN",1798.11020480517,1889.94656297287,1728.37673856344,3347.3283791279,3317.76282335801,3492.37912243349
"TFRC",6313.76493105283,5922.54040913634,5752.18048733198,10966.5015717003,9935.12553490967,10514.8606210391
"NSD1",3925.13144865482,3972.07308543906,3940.24832794717,6858.10717758249,6406.67266364498,6863.64674602193
"ZNF106",6674.9035647011,6189.04410987016,5650.78739240267,11439.8267443339,10860.2243659482,10904.0057648691
"GALNT2",2185.78921048008,2210.60041803906,2346.12355766976,3913.44571690004,4044.28022993276,4091.98031343685
"HERC1",4862.57530345309,4865.01974805714,5143.82191775615,8135.9148828396,8237.49652821334,8677.34107708674
