"gene","AD_logFC","AD_padj","AD_label","AD_drug_logFC","AD_drug_padj","AD_drug_label"
"FOS",2.68841983217182,0,"up",-2.08250957712168,1.23567900543383e-268,"down"
"HSPA8",-2.63760092443883,0,"down",2.59855567660747,0,"up"
"ATP1A1",-2.71581849853895,4.70770124533921e-303,"down",2.64143106441847,5.53840916830071e-278,"up"
"EGR1",2.71798750514226,7.06095769018645e-251,"up",-1.56372523641332,7.53481374036656e-100,"down"
"GPNMB",-2.88785021422886,1.42583786523279e-243,"down",2.32553708532941,8.73713541811619e-138,"up"
"EIF3L",-2.05480495637907,2.53128580881738e-214,"down",1.97936270916927,1.18565133650424e-179,"up"
"PDIA6",-2.48882610444926,4.3596076729716e-211,"down",2.40549931149398,5.02205146065681e-203,"up"
"SYT2",-2.44103270482219,2.39468104637329e-208,"down",2.45977087929794,1.4544936142639e-215,"up"
"A2M",-1.92239986333797,2.3574392162956e-207,"down",2.15709076239104,1.6008884371634e-300,"up"
"NEAT1",1.68230203120061,3.52941888975855e-187,"up",-1.16031120835795,2.58639585816229e-93,"down"
"SRA1",1.82880165327894,1.04895717302483e-184,"up",-1.57876076428572,1.1312157760564e-132,"down"
"DUSP1",2.03971916150719,1.14872806834286e-182,"up",-1.67014559620474,2.16797624065835e-121,"down"
"PSAP",-1.71031179997119,2.5637504585805e-180,"down",1.57810268745586,4.09420003295028e-161,"up"
"FCGBP",-1.71289686699258,1.53687707069817e-179,"down",1.43211895334274,1.54775379416379e-21,"up"
"CNOT1",-1.76066346292693,5.5203313200638e-179,"down",1.68771909387997,4.15224386982739e-146,"up"
"PRKDC",-1.64961830787872,1.70003083149749e-165,"down",1.54274419152651,1.50141018689201e-143,"up"
"ABHD2",-2.57728371460754,2.87211261656685e-161,"down",2.46849916552291,6.8762708434428e-165,"up"
"IER2",2.3763969078338,3.55122363688962e-161,"up",-1.90377191997994,1.00315782598306e-114,"down"
"GNS",-1.75701862424951,1.04335042942934e-160,"down",1.72182404584148,3.26892121717031e-128,"up"
"MRC1",-2.97108645872463,5.10253180093977e-147,"down",2.27929198138887,8.69637508286406e-71,"up"
"FLNA",-2.18829265672229,5.86301892017777e-144,"down",2.27343346457946,4.8443147666478e-148,"up"
"POU2F2",1.4893994212823,4.22422866086227e-140,"up",-1.41935011748321,8.2583398208346e-121,"down"
"PLXDC2",-1.49942750484704,7.88266583529782e-139,"down",1.43463240627217,1.83959171398767e-114,"up"
